date,Team_1,Team_2,Winner,Margin,Ground
2/18/2003,Bangladesh,West Indies,Bangladesh,-,Benoni
2/23/2003,Canada,West Indies,West Indies,7 wickets,Centurion
2/28/2003,Sri Lanka,West Indies,Sri Lanka,6 runs,Cape Town
3/4/2003,Kenya,West Indies,West Indies,142 runs,Kimberley
5/17/2003,West Indies,Australia,Australia,2 runs,Kingston
5/18/2003,West Indies,Australia,Australia,8 wickets,Kingston
5/21/2003,West Indies,Australia,Australia,25 runs,Gros Islet
5/24/2003,West Indies,Australia,Australia,67 runs,Port of Spain
5/25/2003,West Indies,Australia,West Indies,39 runs,Port of Spain
5/30/2003,West Indies,Australia,West Indies,3 wickets,St George's
6/1/2003,West Indies,Australia,West Indies,9 wickets,St George's
6/7/2003,West Indies,Sri Lanka,Sri Lanka,55 runs,Bridgetown
6/8/2003,West Indies,Sri Lanka,Sri Lanka,4 wickets,Bridgetown
6/11/2003,West Indies,Sri Lanka,West Indies,6 wickets,Kingstown
11/22/2003,Zimbabwe,West Indies,West Indies,51 runs,Bulawayo
11/23/2003,Zimbabwe,West Indies,Zimbabwe,6 wickets,Bulawayo
11/26/2003,Zimbabwe,West Indies,Zimbabwe,21 runs,Harare
11/29/2003,Zimbabwe,West Indies,West Indies,72 runs,Harare
11/30/2003,Zimbabwe,West Indies,West Indies,8 wickets,Harare
1/25/2004,South Africa,West Indies,South Africa,209 runs,Cape Town
1/28/2004,South Africa,West Indies,South Africa,16 runs,Port Elizabeth
1/30/2004,South Africa,West Indies,South Africa,-,Durban
2/1/2004,South Africa,West Indies,West Indies,7 wickets,Centurion
2/4/2004,South Africa,West Indies,South Africa,4 wickets,Johannesburg
4/18/2004,West Indies,England,England,2 wickets,Georgetown
4/24/2004,West Indies,England,England,-,Port of Spain
4/25/2004,West Indies,England,England,-,Port of Spain
4/28/2004,West Indies,England,England,-,St George's
5/1/2004,West Indies,England,West Indies,5 wickets,Gros Islet
5/2/2004,West Indies,England,West Indies,4 wickets,Gros Islet
5/5/2004,West Indies,England,England,5 wickets,Bridgetown
5/15/2004,West Indies,Bangladesh,West Indies,1 wickets,Kingstown
5/16/2004,West Indies,Bangladesh,West Indies,23 runs,Kingstown
5/19/2004,West Indies,Bangladesh,West Indies,7 wickets,St George's
6/26/2004,New Zealand,West Indies,New Zealand,-,Birmingham
6/27/2004,England,West Indies,West Indies,7 wickets,Nottingham
7/1/2004,England,West Indies,England,7 wickets,Leeds
7/3/2004,New Zealand,West Indies,New Zealand,5 wickets,Cardiff
7/6/2004,England,West Indies,West Indies,7 wickets,Lord's
7/8/2004,New Zealand,West Indies,New Zealand,-,Southampton
7/10/2004,New Zealand,West Indies,New Zealand,107 runs,Lord's
9/15/2004,Bangladesh,West Indies,West Indies,138 runs,Southampton
9/18/2004,South Africa,West Indies,West Indies,5 wickets,The Oval
9/22/2004,Pakistan,West Indies,West Indies,7 wickets,Southampton
9/25/2004,England,West Indies,West Indies,2 wickets,The Oval
1/14/2005,Australia,West Indies,Australia,116 runs,Melbourne
1/19/2005,Pakistan,West Indies,Pakistan,6 wickets,Brisbane
1/21/2005,Australia,West Indies,Australia,-,Brisbane
1/26/2005,Australia,West Indies,Australia,73 runs,Adelaide
1/28/2005,Pakistan,West Indies,West Indies,58 runs,Adelaide
2/1/2005,Pakistan,West Indies,Pakistan,30 runs,Perth
5/7/2005,West Indies,South Africa,South Africa,8 wickets,Kingston
5/8/2005,West Indies,South Africa,South Africa,8 wickets,Kingston
5/11/2005,West Indies,South Africa,South Africa,1 runs,Bridgetown
5/14/2005,West Indies,South Africa,South Africa,6 wickets,Port of Spain
5/15/2005,West Indies,South Africa,South Africa,7 wickets,Port of Spain
5/18/2005,West Indies,Pakistan,Pakistan,59 runs,Kingstown
5/21/2005,West Indies,Pakistan,Pakistan,40 runs,Gros Islet
5/22/2005,West Indies,Pakistan,Pakistan,22 runs,Gros Islet
7/31/2005,India,West Indies,India,6 wickets,Dambulla
8/2/2005,Sri Lanka,West Indies,Sri Lanka,50 runs,Dambulla
8/6/2005,Sri Lanka,West Indies,West Indies,33 runs,Colombo (RPS)
8/7/2005,India,West Indies,India,7 runs,Colombo (RPS)
2/18/2006,New Zealand,West Indies,New Zealand,81 runs,Wellington
2/22/2006,New Zealand,West Indies,New Zealand,3 wickets,Queenstown
2/25/2006,New Zealand,West Indies,New Zealand,21 runs,Christchurch
3/1/2006,New Zealand,West Indies,New Zealand,91 runs,Napier
3/4/2006,New Zealand,West Indies,West Indies,3 wickets,Auckland
4/29/2006,West Indies,Zimbabwe,West Indies,5 wickets,St John's
4/30/2006,West Indies,Zimbabwe,West Indies,98 runs,St John's
5/6/2006,West Indies,Zimbabwe,Zimbabwe,-,Georgetown
5/7/2006,West Indies,Zimbabwe,West Indies,82 runs,Georgetown
5/10/2006,West Indies,Zimbabwe,West Indies,10 wickets,Gros Islet
5/13/2006,West Indies,Zimbabwe,Zimbabwe,-,Port of Spain
5/14/2006,West Indies,Zimbabwe,West Indies,104 runs,Port of Spain
5/18/2006,West Indies,India,India,5 wickets,Kingston
5/20/2006,West Indies,India,West Indies,1 runs,Kingston
5/23/2006,West Indies,India,West Indies,4 wickets,Basseterre
