Name,Country,Starting Year,Ending Year,Matches,Batting Runs,Highest Score,Batting Average,Hundreds,Wickets,Best Bowling Figures Wickets,Best Bowling Figures Runs,Bowling Average,5 Wickets,Average Difference,Wicketkeeper
Mushfiqur Rahman,BDESH,2000,2004,28,360,49,16.36,0,19,2,21,51.73,0,-35.37,no
AH Omarshah,ZIM,1983,1996,28,437,60*,16.8,0,18,3,33,45.11,0,-28.3,no
JL Ontong,Afr/SA,2001,2012,28,184,32,13.14,0,9,3,30,44,0,-30.85,no
SB Smith,AUS,1983,1985,28,861,117,39.13,2,0,-,-,-,0,-,no
CD Wallace,SCOT,2012,2019,28,482,58,20.95,0,-,-,-,-,-,-,yes
KD Walters,AUS,1971,1981,28,513,59,28.5,0,4,2,24,68.25,0,-39.74,no
BJ Watling,NZ,2010,2018,28,573,96*,24.91,0,-,-,-,-,-,-,no
MH Yardy,ENG,2006,2011,28,326,60*,20.37,0,21,3,24,51.19,0,-30.81,no
Aftab Alam,AFG,2010,2019,27,80,16*,11.42,0,41,4,25,25.19,0,-13.76,no
JWM Dalrymple,ENG,2006,2007,27,487,67,19.48,0,14,2,5,47.57,0,-28.09,no
Ijaz Faqih,PAK,1980,1988,27,197,42*,12.31,0,13,4,43,63,0,-50.68,no
Minhajul Abedin,BDESH,1986,1999,27,453,68*,18.87,0,13,2,39,39.3,0,-20.43,no
Mohammad Mithun,BDESH,2014,2020,27,575,63,28.75,0,-,-,-,-,-,-,no
WV Raman,INDIA,1988,1996,27,617,114,23.73,1,2,1,23,85,0,-61.26,no
FA Rose,WI,1997,2000,27,217,30,12.05,0,29,5,23,36.06,1,-24.01,no
AM Samad,CAN,2003,2009,27,740,130,29.6,1,7,1,8,40.14,0,-10.54,no
Sanwar Hossain,BDESH,1998,2003,27,290,52,11.6,0,10,3,49,32.7,0,-21.09,no
Sikander Bakht,PAK,1977,1989,27,31,16*,7.75,0,33,4,34,26.06,0,-18.31,no
TAM Siriwardana,SL,2015,2019,27,516,66,22.43,0,9,2,27,60.77,0,-38.34,no
CJO Smith,SCOT,2006,2009,27,432,59,19.63,0,-,-,-,-,-,-,no
RW Taylor,ENG,1973,1984,27,130,26*,13,0,-,-,-,-,-,-,no
JWA Taylor,ENG,2011,2015,27,887,101,42.23,1,-,-,-,-,-,-,no
AJ Traicos,ZIM,1983,1993,27,88,19,11,0,19,3,35,51.94,0,-40.94,no
A Vala,PNG,2014,2019,27,739,104,27.37,1,27,3,20,24,0,3.37,no
MRJ Watt,SCOT,2016,2019,27,147,31*,14.7,0,35,4,42,29.51,0,-14.81,no
KCG Benjamin,WI,1992,1996,26,65,17,10.83,0,33,3,34,27.96,0,-17.13,no
TL Best,WI,2004,2014,26,76,24,9.5,0,34,4,35,34.02,0,-24.52,no
MG Burgess,NZ,1973,1981,26,336,47,16.8,0,1,1,10,69,0,-52.19,no
IG Butler,NZ,2002,2010,26,84,25,10.5,0,28,4,44,37.07,0,-26.57,no
LOB Cann,BMUDA,2006,2009,26,590,52,26.81,0,1,1,34,129,0,-102.18,no
G Fowler,ENG,1983,1986,26,744,81*,31,0,-,-,-,-,-,-,no
MJ Hoggard,ENG,2001,2006,26,17,7,4.25,0,32,5,49,36,1,-31.74,yes
AJ Ireland,ZIM,2005,2007,26,30,8*,3.75,0,38,3,41,29.34,0,-25.59,no
JP Maher,AUS,1998,2003,26,438,95,25.76,0,-,-,-,-,-,-,no
SI Mahmood,ENG,2004,2009,26,85,22*,7.72,0,30,4,50,38.96,0,-31.23,no
AK Markram,SA,2017,2019,26,643,67*,27.95,0,3,2,18,44,0,-16.04,no
MJ Mason,NZ,2003,2010,26,24,13*,8,0,31,4,24,33.03,0,-25.03,no
DL Murray,WI,1973,1980,26,294,61*,24.5,0,-,-,-,-,-,-,yes
L Ngidi,SA,2018,2020,26,47,19*,15.66,0,53,6,58,21.5,1,-5.84,no
E Otieno,KENYA,2007,2014,26,49,11,4.9,0,22,4,33,42.13,0,-37.23,no
MK Pandey,INDIA,2015,2020,26,492,104*,35.14,1,-,-,-,-,-,-,no
MS Panesar,ENG,2007,2007,26,26,13,5.2,0,24,3,25,40.83,0,-35.63,no
RT Robinson,ENG,1984,1988,26,597,83,22.96,0,-,-,-,-,-,-,no
MM Sharma,INDIA,2013,2015,26,31,11,7.75,0,31,4,22,32.9,0,-25.15,no
Sohaib Maqsood,PAK,2013,2016,26,735,89*,31.95,0,1,1,16,42,0,-10.04,no
JJ Tucker,BMUDA,2006,2009,26,496,52,19.84,0,13,2,23,53.92,0,-34.08,no
DL Underwood,ENG,1973,1982,26,53,17,5.88,0,32,4,44,22.93,0,-17.04,no
TP Ura,PNG,2014,2019,26,718,151,27.61,1,0,-,-,-,0,-,no
KIW Wijegunawardene,SL,1988,1992,26,20,8*,2.85,0,25,4,49,39.44,0,-36.58,no
P Willey,ENG,1977,1986,26,538,64,23.39,0,13,3,33,50.69,0,-27.3,no
KBJ Azad,INDIA,1980,1986,25,269,39*,14.15,0,7,2,48,39,0,-24.84,no
JM Brearley,ENG,1977,1980,25,510,78,24.28,0,-,-,-,-,-,-,no
DR Brown,ENG/SCOT,1997,2007,25,319,50*,17.72,0,22,3,37,41.77,0,-24.05,no
PKD Chase,IRE,2015,2018,25,35,14,3.5,0,34,3,33,39.88,0,-36.38,no
PP Chawla,INDIA,2007,2011,25,38,13*,5.42,0,32,4,23,34.9,0,-29.47,no
ADS Fletcher,WI,2008,2016,25,354,54,14.16,0,0,-,-,-,0,-,no
ST Gabriel,WI,2016,2019,25,24,12*,3.42,0,33,3,17,34.36,0,-30.93,no
AH Gray,WI,1985,1991,25,51,10*,8.5,0,44,6,50,18.97,1,-10.47,no
BW Hilfenhaus,AUS,2007,2012,25,29,16,9.66,0,29,5,33,37.06,1,-27.4,no
BJ Hodge,AUS,2005,2007,25,575,123,30.26,1,1,1,17,51,0,-20.73,no
GJ Hopkins,NZ,2004,2010,25,236,45,14.75,0,-,-,-,-,-,-,no
PJ Hughes,AUS,2013,2014,25,826,138*,35.91,2,-,-,-,-,-,-,no
RK Illingworth,ENG,1991,1996,25,68,14,11.33,0,30,3,33,35.3,0,-23.96,no
BP Julian,AUS,1993,1999,25,224,35,13.17,0,22,3,40,45.31,0,-32.14,no
Khurram Chohan,CAN,2009,2014,25,165,35*,12.69,0,36,5,68,28.58,1,-15.89,no
AP Kuiper,SA,1991,1996,25,539,63*,33.68,0,18,3,33,28.77,0,4.9,no
A Kuruvilla,INDIA,1997,1997,25,26,7,3.71,0,25,4,43,35.6,0,-31.88,no
W Larkins,ENG,1979,1991,25,591,124,24.62,1,0,-,-,-,0,-,no
RT Lyons,SCOT,2006,2010,25,90,28,22.5,0,20,3,21,45.05,0,-22.54,no
Manjural Islam Rana,BDESH,2003,2006,25,331,63,20.68,0,23,4,34,29.95,0,-9.26,no
G Miller,ENG,1977,1984,25,136,46,8.5,0,25,3,27,32.52,0,-24.01,no
Mohammad Wasim,PAK,1996,2000,25,543,76,23.6,0,-,-,-,-,-,-,no
HG Munsey,SCOT,2017,2019,25,562,61,25.54,0,-,-,-,-,-,-,no
Nadeem Ahmed,HKG,2004,2018,25,67,14,5.58,0,38,4,26,24.52,0,-18.94,no
N Pooran,WI,2019,2020,25,932,118,49.05,1,-,-,-,-,-,-,no
JF Reid,NZ,1980,1986,25,633,88,27.52,0,-,-,-,-,-,-,no
KW Richardson,AUS,2013,2020,25,75,24*,15,0,39,5,68,31.79,1,-16.79,no
Sharjeel Khan,PAK,2013,2017,25,812,152,32.48,1,-,-,-,-,-,-,no
L Siaka,PNG,2014,2019,25,471,109,18.84,1,3,2,33,48.66,0,-29.82,no
RJ Sidebottom,ENG,2001,2010,25,133,24,13.3,0,29,3,19,35.82,0,-22.52,no
GR Viswanath,INDIA,1974,1982,25,439,75,19.95,0,-,-,-,-,-,-,no
BA Williams,AUS,2002,2004,25,27,13*,13.5,0,35,5,22,23.25,2,-9.75,no
Yasir Shah,PAK,2011,2019,25,127,32*,18.14,0,24,6,26,47.91,1,-29.77,no
Aamer Malik,PAK,1988,1994,24,556,90,25.27,0,3,2,35,28.66,0,-3.39,no
PR Adams,SA,1996,2003,24,66,33*,16.5,0,29,3,26,28.1,0,-11.6,no
CA Best,WI,1986,1992,24,473,100,24.89,1,0,-,-,-,0,-,no
JW Dernbach,ENG,2011,2013,24,19,5,2.71,0,31,4,45,42.19,0,-39.47,no
AIC Dodemaide,AUS,1988,1993,24,124,30,13.77,0,36,5,21,20.91,1,-7.13,no
KWR Fletcher,ENG,1971,1982,24,757,131,39.84,1,-,-,-,-,-,-,no
AS Hansra,CAN,2010,2014,24,421,70*,23.38,0,7,3,27,59,0,-35.61,no
Karim Sadiq,AFG,2009,2016,24,475,114*,23.75,2,6,2,10,33.5,0,-9.74,yes
AA Mulla,CAN,2006,2009,24,482,58,20.08,0,-,-,-,-,-,-,yes
MV Nagamootoo,WI,2000,2002,24,162,33,13.5,0,18,4,32,55.44,0,-41.94,no
JM Parker,NZ,1974,1981,24,248,66,12.4,0,1,1,10,10,0,2.4,no
KTGD Prasad,SL,2006,2015,24,129,31*,21.5,0,32,3,17,30.5,0,-8.99,no
S Ramesh,INDIA,1999,1999,24,646,82,28.08,0,1,1,23,38,0,-9.91,no
PADLR Sandakan,SL,2016,2020,24,34,6,3.4,0,20,4,52,58.05,0,-54.64,no
Shafiqullah,AFG,2009,2018,24,430,56,22.63,0,-,-,-,-,-,-,TRUE
BV Vitori,ZIM,2011,2018,24,86,20*,7.81,0,32,5,20,35.9,2,-28.08,no
DM Benkenstein,SA,1998,2002,23,305,69,17.94,0,4,3,5,11,0,6.94,no
DH Brain,ZIM,1992,1995,23,117,27,8.35,0,21,3,51,40.42,0,-32.07,no
DJ Capel,ENG,1987,1990,23,327,50*,19.23,0,17,3,38,47.35,0,-28.11,no
PVD Chameera,SL,2015,2019,23,93,19*,13.28,0,19,3,20,41.89,0,-28.6,no
TLW Cooper,NL,2010,2013,23,976,101,48.8,1,13,3,11,33.69,0,15.1,no
NG Cowans,ENG,1983,1985,23,13,4*,2.6,0,23,3,44,39.69,0,-37.09,no
MH Dekker,ZIM,1992,1996,23,379,79,18.95,0,9,2,16,32.22,0,-13.27,no
SS Dighe,INDIA,2000,2001,23,256,94*,23.27,0,-,-,-,-,-,-,no
T Duffin,ZIM,2006,2007,23,546,88,23.73,0,-,-,-,-,-,-,no
GC Dyer,AUS,1986,1988,23,174,45*,15.81,0,-,-,-,-,-,-,no
Faheem Ashraf,PAK,2017,2019,23,162,28,12.46,0,20,5,22,37.2,1,-24.73,no
Ghulam Shabber,UAE,2017,2019,23,500,90,21.73,0,-,-,-,-,-,-,no
PW Gunaratne,SL,2002,2003,23,36,15*,7.2,0,27,4,44,33.62,0,-26.42,no
BM Laird,AUS,1979,1982,23,594,117*,29.7,1,-,-,-,-,-,-,no
MW Machan,SCOT,2013,2016,23,734,114,33.36,1,9,3,31,42.66,0,-9.3,no
JN Maguire,AUS,1983,1984,23,42,14*,7,0,19,3,61,40.47,0,-33.47,no
NB Mahwire,ZIM,2004,2006,23,117,22*,10.63,0,21,3,29,36.9,0,-26.26,no
Majid Khan,PAK,1973,1982,23,786,109,37.42,1,13,3,27,28.76,0,8.65,no
Mohammad Akram,PAK,1995,2000,23,14,7*,7,0,19,2,28,41.57,0,-34.57,yes
RAP Nissanka,SL,2001,2003,23,53,11,6.62,0,27,4,12,31.74,0,-25.11,no
SD Outerbridge,BMUDA,2006,2009,23,336,56,14.6,0,1,1,11,94,0,-79.39,no
H Patel,CAN,2009,2013,23,468,62,21.27,0,10,4,28,35.3,0,-14.02,no
SMA Priyanjan,SL,2013,2015,23,420,74,23.33,0,5,2,11,46.6,0,-23.26,no
SK Sharma,INDIA,1988,1990,23,80,28,10,0,22,5,26,36.95,1,-26.95,no
EO Simons,SA,1994,1995,23,217,24,15.5,0,33,4,42,24.54,0,-9.04,no
ZE Surkari,CAN,2008,2011,23,328,49,17.26,0,-,-,-,-,-,-,no
LP van Troost,NL,2002,2007,23,284,40,15.77,0,4,2,29,70,0,-54.22,no
N Vanua,PNG,2014,2019,23,254,35,14.94,0,34,4,24,26.47,0,-11.52,no
Anwar Ali,PAK,2013,2016,22,321,43*,29.18,0,18,3,66,52.44,0,-23.26,no
Babar Hayat,HKG,2014,2018,22,784,89,39.2,0,0,-,-,-,0,-,no
GEF Barnett,CAN,2006,2010,22,455,77,20.68,0,-,-,-,-,-,-,no
TK Curran,ENG,2017,2020,22,236,47*,47.2,0,28,5,35,35.64,1,11.55,no
AW Greig,ENG,1972,1977,22,269,48,16.81,0,19,4,45,32.57,0,-15.76,no
PSP Handscomb,AUS,2017,2019,22,632,117,33.26,1,-,-,-,-,-,-,no
DL Hemp,BMUDA,2006,2009,22,641,102*,33.73,1,1,1,25,119,0,-85.26,no
M Hendrick,ENG,1973,1981,22,6,2*,1.2,0,35,5,31,19.45,1,-18.25,yes
LM Jongwe,ZIM,2014,2016,22,236,46,14.75,0,25,5,6,30.36,1,-15.6,no
D Langford-Smith,IRE,2006,2008,22,142,31*,15.77,0,25,3,32,31.88,0,-16.1,no
JK Lever,ENG,1976,1982,22,56,27*,8,0,24,4,29,29.7,0,-21.7,no
Mohammad Saifuddin,BDESH,2017,2020,22,290,51*,32.22,0,31,4,41,31.35,0,0.86,no
RJ Nicol,NZ,2011,2013,22,586,146,30.84,2,10,4,19,32.9,0,-2.05,no
D Pretorius,SA,2016,2019,22,135,50,15,0,29,3,5,28.03,0,-13.03,no
CJ Richards,ENG,1981,1988,22,154,50,11.84,0,-,-,-,-,-,-,no
MJR Rindel,SA,1994,1999,22,575,106,27.38,1,6,2,15,40.33,0,-12.95,no
BS Sandhu,INDIA,1982,1984,22,51,16*,12.75,0,16,3,27,47.68,0,-34.93,no
T Shamsi,SA,2016,2020,22,0,0*,0,0,26,4,33,38.19,0,-38.19,no
MD Shanaka,SL,2016,2019,22,468,68,26,0,10,5,43,27.4,1,-1.39,no
Taufeeq Umar,PAK,2001,2011,22,504,81*,24,0,1,1,49,85,0,-60.99,no
GB Troup,NZ,1976,1985,22,101,39,25.25,0,32,4,19,24.71,0,0.53,no
S Viswanath,INDIA,1985,1988,22,72,23*,9,0,-,-,-,-,-,-,no
I Wardlaw,SCOT,2013,2015,22,21,7*,3.5,0,36,4,22,28.77,0,-25.27,no
TJ Zoehrer,AUS,1986,1994,22,130,50,10.83,0,-,-,-,-,-,-,no
Adeel Raja,NL,2002,2011,21,28,8*,2.8,0,17,4,42,40.58,0,-37.78,no
DL Bairstow,ENG,1979,1984,21,206,23*,14.71,0,-,-,-,-,-,-,no
S Bau,PNG,2016,2019,21,378,59,18.9,0,2,2,35,62,0,-43.09,no
DR Chumney,CAN,2003,2007,21,397,48,20.89,0,-,-,-,-,-,-,no
RJ Harris,AUS,2009,2012,21,48,21,8,0,44,5,19,18.9,3,-10.9,no
M Hayward,SA,1998,2002,21,12,4,3,0,21,4,31,40.85,0,-37.85,no
RR Hendricks,SA,2018,2020,21,507,102,26.68,1,1,1,13,47,0,-20.31,no
KS Lokuarachchi,SL,2003,2007,21,210,69,14,0,31,4,44,23.38,0,-9.38,no
T Maruma,ZIM,2007,2019,21,196,35,11.52,0,4,2,50,57.5,0,-45.97,no
SG Peall,ZIM,1992,1996,21,91,21,6.5,0,8,3,54,84.75,0,-78.24,no
NO Perry,WI,1999,2000,21,212,52*,26.5,0,20,3,45,39.15,0,-12.64,no
AN Petersen,SA,2006,2013,21,504,80,28,0,0,-,-,-,0,-,no
AM Phangiso,SA,2013,2016,21,81,20,7.36,0,26,3,40,31.88,0,-24.52,no
NS Poonia,SCOT,2006,2009,21,237,67,11.28,0,-,-,-,-,-,-,no
SW Poynter,IRE,2014,2019,21,185,36,13.21,0,-,-,-,-,-,-,no
M Sheikh,KENYA,1997,2000,21,68,15*,6.8,0,19,4,36,32.89,0,-26.09,no
DC Thomas,WI,2009,2013,21,238,37,14,0,2,2,11,5.5,0,8.5,yes
HE van der Dussen,SA,2019,2020,21,707,95,70.7,0,-,-,-,-,-,-,no
SA Ankola,INDIA,1989,1997,20,34,9,3.77,0,13,3,33,47.3,0,-43.52,no
DE Bernard,WI,2003,2010,20,141,38,14.1,0,14,3,32,37.57,0,-23.47,no
IP Butchart,ZIM,1983,1995,20,252,54,18,0,12,3,57,53.33,0,-35.33,no
TM Chappell,AUS,1980,1983,20,229,110,17.61,1,19,3,31,28.31,0,-10.7,no
DN Chudasama,KENYA,1996,1999,20,434,122,22.84,1,-,-,-,-,-,-,no
R Clarke,ENG,2003,2006,20,144,39,11.07,0,11,2,28,37.72,0,-26.65,no
DR Flynn,NZ,2008,2012,20,228,35,15.2,0,0,-,-,-,0,-,no
Hannan Sarkar,BDESH,2002,2004,20,383,61,19.15,0,0,-,-,-,0,-,no
BC Hollioake,ENG,1997,2002,20,309,63,20.6,0,8,2,37,66.5,0,-45.89,no
Imran Haider,UAE,2017,2019,20,58,18*,8.28,0,32,4,25,26.28,0,-17.99,no
APE Knott,ENG,1971,1977,20,200,50,20,0,-,-,-,-,-,-,no
AO Malhotra,INDIA,1982,1986,20,457,65,30.46,0,0,-,-,-,0,-,no
CS Martin,NZ,2001,2008,20,8,3,1.6,0,18,3,62,44.66,0,-43.06,no
PJ Martin,ENG,1995,1998,20,38,6,6.33,0,27,4,44,29.85,0,-23.51,no
AD Mascarenhas,ENG,2007,2009,20,245,52,22.27,0,13,3,23,48.76,0,-26.49,no
DA Minors,BMUDA,2006,2007,20,478,68,26.55,0,-,-,-,-,-,-,no
S Mukuddem,BMUDA,2006,2007,20,331,57,23.64,0,23,4,40,32.69,0,-9.05,no
Nizakat Khan,HKG,2014,2018,20,675,94,33.75,0,4,1,11,29.75,0,4,no
ASA Perera,SL,1998,2001,20,195,56*,17.72,0,13,2,25,40.15,0,-22.42,no
AJ Pycroft,ZIM,1983,1992,20,295,61,17.35,0,-,-,-,-,-,-,no
Shahriar Hossain,BDESH,1997,2004,20,362,95,19.05,0,-,-,-,-,-,-,no
PM Siddle,AUS,2009,2019,20,31,10*,10.33,0,17,3,55,43.7,0,-33.37,no
SAR Silva,SL,1984,1985,20,441,85,22.05,0,-,-,-,-,-,-,no
Simi Singh,IRE,2017,2020,20,267,45,14.83,0,18,3,15,29.16,0,-14.33,no
Sohag Gazi,BDESH,2012,2014,20,184,30,15.33,0,22,4,29,32.81,0,-17.48,no
CA Soper,PNG,2016,2019,20,265,39,17.66,0,25,6,41,29.32,1,-11.65,no
Tanwir Afzal,HKG,2014,2018,20,292,73,18.25,0,19,3,20,31.63,0,-13.38,no
O Thomas,WI,2018,2020,20,13,6*,2.6,0,27,5,21,32.07,1,-29.47,no
SR Thompson,IRE,2013,2017,20,228,39,16.28,0,12,2,17,40.83,0,-24.54,no
PCR Tufnell,ENG,1990,1997,20,15,5*,15,0,19,4,22,36.78,0,-21.78,no
MRJ Veletta,AUS,1987,1989,20,484,68*,32.26,0,-,-,-,-,-,-,no
SR Waters,KENYA,2008,2011,20,419,74,20.95,0,0,-,-,-,0,-,no
CM Wright,SCOT,2006,2009,20,240,37,16,0,29,4,29,22.86,0,-6.86,no
Aizaz Khan,HKG,2014,2018,19,260,44,20,0,16,2,26,42.5,0,-22.49,no
Athar Ali Khan,BDESH,1988,1998,19,532,82,29.55,0,6,2,33,60.83,0,-31.27,no
HK Bennett,NZ,2010,2020,19,10,4*,5,0,33,4,16,24.84,0,-19.84,no
IS Billcliff,CAN,2003,2009,19,529,93,27.84,0,-,-,-,-,-,-,no
DAJ Bracewell,NZ,2011,2019,19,158,57,15.8,0,23,4,55,34.69,0,-18.89,no
DT Christian,AUS,2012,2014,19,273,39,21,0,20,5,31,29.75,1,-8.74,no
CEH Croft,WI,1977,1981,19,18,8,9,0,30,6,15,20.66,1,-11.66,no
V Dahiya,INDIA,2000,2001,19,216,51,16.61,0,-,-,-,-,-,-,no
AC Dawson,SA,1998,2004,19,69,23*,23,0,21,4,49,34.04,0,-11.04,no
RMS Eranga,SL,2011,2016,19,34,12*,11.33,0,21,3,46,32.66,0,-21.33,no
KD Ghavri,INDIA,1975,1981,19,114,20,11.4,0,15,3,40,47.2,0,-35.79,no
SR Gillespie,NZ,1986,1988,19,70,18*,11.66,0,23,4,30,32,0,-20.33,no
R Gunasekera,CAN,2008,2014,19,455,72,23.94,0,-,-,-,-,-,-,no
AG Huckle,ZIM,1997,1999,19,9,5*,2.25,0,7,2,27,94.42,0,-92.17,no
KAD Hurdle,BMUDA,2006,2007,19,85,22,10.62,0,23,3,24,36.13,0,-25.5,no
SHU Karnain,SL,1984,1990,19,229,41*,19.08,0,16,5,26,31.56,1,-12.47,no
AJ McKay,NZ,2010,2012,19,12,4*,4,0,27,4,53,29.62,0,-25.62,no
Mohsin Kamal,PAK,1984,1989,19,27,11*,9,0,21,4,47,36.19,0,-27.19,no
JD Nel,SCOT,2006,2010,19,31,11*,15.5,0,14,4,25,46.35,0,-30.85,no
PA Nixon,ENG,2007,2007,19,297,49,21.21,0,-,-,-,-,-,-,no
J Nyumbu,ZIM,2014,2015,19,46,18,4.6,0,17,3,42,43.41,0,-38.81,no
KMA Paul,WI,2018,2020,19,214,46,23.77,0,23,3,44,38.3,0,-14.52,no
PDRL Perera,SL,1999,2007,19,8,4*,1.6,0,19,3,23,43.15,0,-41.55,yes
AD Poynter,IRE,2008,2014,19,255,78,19.61,0,-,-,-,-,-,-,no
DJ Reekers,NL,2006,2009,19,481,104,25.31,1,13,3,54,33.53,0,-8.22,no
Sadiq Mohammad,PAK,1973,1980,19,383,74,21.27,0,2,2,20,13,0,8.27,no
Shaheen Shah Afridi,PAK,2018,2019,19,42,19*,21,0,40,6,35,21.17,1,-0.17,no
V Yadav,INDIA,1992,1994,19,118,34*,11.8,0,-,-,-,-,-,-,no
Zahid Fazal,PAK,1990,1994,19,348,98*,23.2,0,-,-,-,-,-,-,no
Adnan Mufti,UAE,2017,2018,18,330,57*,27.5,0,-,-,-,-,-,-,no
DL Amiss,ENG,1972,1977,18,859,137,47.72,4,-,-,-,-,-,-,no
Anshuman Rath,HKG,2014,2018,18,828,143*,51.75,1,14,3,22,11.92,0,39.82,no
Asif Ali,PAK,2018,2019,18,361,52,27.76,0,0,-,-,-,0,-,no
JT Ball,ENG,2016,2018,18,38,28,9.5,0,21,5,51,46.66,1,-37.16,no
SW Billings,ENG,2015,2020,18,403,67*,31,0,-,-,-,-,-,-,no
RP Burl,ZIM,2017,2019,18,243,53,20.25,0,7,4,32,29.57,0,-9.32,no
S Chattergoon,WI,2006,2009,18,370,54*,24.66,0,1,1,1,48,0,-23.33,no
TS Chisoro,ZIM,2015,2018,18,134,42*,14.88,0,20,3,16,27.8,0,-12.91,no
MD Dai,PNG,2014,2018,18,454,76*,28.37,0,18,3,58,37.5,0,-9.12,no
WW Daniel,WI,1978,1984,18,49,16*,49,0,23,3,27,25.86,0,23.13,no
Danish Kaneria,PAK,2001,2007,18,12,6*,6,0,15,3,31,45.53,0,-39.53,no
WM Darling,AUS,1978,1982,18,363,74,21.35,0,-,-,-,-,-,-,no
Faisal Iqbal,PAK,2000,2006,18,314,100*,22.42,1,0,-,-,-,0,-,no
WIA Fernando,SL,2016,2020,18,653,127,36.27,2,-,-,-,-,-,-,no
IJ Gould,ENG,1983,1983,18,155,42,12.91,0,-,-,-,-,-,-,no
ND Hirwani,INDIA,1988,1992,18,8,4,2,0,23,4,43,31.26,0,-29.26,no
PJC Hoffmann,SCOT,2006,2007,18,85,31,7.72,0,16,3,22,34.68,0,-26.96,no
SS Iyer,INDIA,2017,2020,18,748,103,49.86,1,0,-,-,-,0,-,no
CL King,WI,1976,1980,18,280,86,23.33,0,11,4,23,48.09,0,-24.75,no
Mehrab Hossain,BDESH,1998,2003,18,449,101,24.94,1,0,-,-,-,0,-,no
Mehrab Hossain jnr,BDESH,2006,2009,18,276,54,17.25,0,4,2,30,53.5,0,-36.24,no
JFM Morrison,NZ,1975,1983,18,252,55,21,0,8,3,24,24.87,0,-3.87,no
B Muzarabani,ZIM,2018,2018,18,16,7,2,0,18,4,47,40.72,0,-38.72,no
PP Ojha,INDIA,2008,2012,18,46,16*,23,0,21,4,38,31.04,0,-8.04,no
SS Pathirana,SL,2015,2017,18,332,56,25.53,0,15,3,37,48,0,-22.46,no
MW Priest,NZ,1990,1998,18,103,24,10.3,0,8,2,27,73.75,0,-63.44,no
MR Ramprakash,ENG,1991,2001,18,376,51,26.85,0,4,3,28,27,0,-0.14,no
HP Rinke,ZIM,2006,2006,18,317,72,17.61,0,8,2,11,34.12,0,-16.51,no
RS Sodhi,INDIA,2000,2002,18,280,67,25.45,0,5,2,31,73,0,-47.54,no
I Udana,SL,2012,2020,18,190,78,15.83,0,16,3,82,50.62,0,-34.79,no
AV Vadher,KENYA,1997,1999,18,278,73*,27.8,0,-,-,-,-,-,-,no
JTC Vaughan,NZ,1992,1996,18,162,33,18,0,15,4,33,34.93,0,-16.93,yes
Afsar Zazai,AFG,2014,2017,17,264,60,17.6,0,-,-,-,-,-,-,TRUE
Amjad Ali,UAE,2008,2015,17,520,98,30.58,0,-,-,-,-,-,-,no
JO Angara,KENYA,1997,2003,17,23,6,3.83,0,14,3,30,40.64,0,-36.8,no
AF Buurman,NL,2007,2011,17,140,34,15.55,0,-,-,-,-,-,-,no
Chirag Suri,UAE,2018,2020,17,355,67,20.88,0,-,-,-,-,-,-,no
GR Codrington,CAN,2006,2007,17,235,45*,19.58,0,16,4,33,36.06,0,-16.47,no
TCB Fernando,SL,2001,2003,17,29,14*,7.25,0,15,5,67,39.06,1,-31.81,no
WS Jayantha,SL,2004,2004,17,400,74*,26.66,0,0,-,-,-,0,-,no
AR Kapoor,INDIA,1995,2000,17,43,19,7.16,0,8,2,33,76.5,0,-69.33,no
H Klaasen,SA,2018,2020,17,493,123*,41.08,1,0,-,-,-,0,-,no
PE McEwan,NZ,1980,1985,17,204,41,13.6,0,6,2,29,58.83,0,-45.23,no
NC McGarrell,WI,1998,2001,17,60,19,7.5,0,15,3,32,45.4,0,-37.89,no
WP Masakadza,ZIM,2015,2018,17,53,15,5.88,0,21,4,21,34.95,0,-29.06,no
F Mutizwa,ZIM,2009,2011,17,403,79,31,0,-,-,-,-,-,-,no
JO Ngoche,KENYA,2010,2013,17,35,21*,5,0,20,3,18,28.45,0,-23.44,no
MSK Prasad,INDIA,1998,1999,17,131,63,14.55,0,-,-,-,-,-,-,no
MW Pringle,SA,1992,1994,17,48,13*,9.6,0,22,4,11,27.45,0,-17.85,no
Qaiser Ali,CAN,2006,2008,17,244,70,15.25,0,5,3,28,26.4,0,-11.14,no
Shahid Nazir,PAK,1996,2000,17,25,8,25,0,19,3,14,34.15,0,-9.15,no
Sharafuddin Ashraf,AFG,2014,2019,17,66,21,9.42,0,13,3,29,43,0,-33.57,no
Sohrawordi Shuvo,BDESH,2010,2011,17,98,20*,14,0,14,3,14,40.85,0,-26.85,no
Usman Shinwari,PAK,2017,2019,17,6,6,2,0,34,5,34,18.61,2,-16.61,no
MN van Wyk,SA,2003,2015,17,425,82,26.56,0,-,-,-,-,-,-,no
M Vijay,INDIA,2010,2015,17,339,72,21.18,0,1,1,19,37,0,-15.81,no
MHN Walker,AUS,1974,1981,17,79,20,9.87,0,20,4,19,27.3,0,-17.42,no
DM Wellham,AUS,1981,1987,17,379,97,25.26,0,-,-,-,-,-,-,no
CA Young,IRE,2014,2020,17,42,11*,7,0,34,5,46,23.44,1,-16.44,no
Zahoor Khan,UAE,2017,2019,17,52,16,5.77,0,31,6,34,22.67,1,-16.89,no
Zakir Khan,PAK,1984,1990,17,27,11*,27,0,16,4,19,30.87,0,-3.87,no
Arafat Sunny,BDESH,2014,2015,16,48,15,12,0,24,4,27,25,0,-12.99,no
